quarter,volume
1,16.33014112581129
2,16.749514651004862
3,16.503935164099158
4,16.28272096546874
5,16.138945670723924
6,16.378480650279897
7,16.552301297819163
8,16.834814035076697
9,16.831488693904593
10,17.145242334881495
11,17.405809460432753
12,17.610548903948917
13,17.62343187729831
14,17.8838096458077
15,17.627192053648358
16,17.54139529220178
17,17.562326081798762
18,17.721023357916767
19,18.235421640790747
20,18.21350357388415
21,18.503592728235017
22,18.270338436394084
23,13.936372404769374
24,14.123861059268464
25,13.94545138722425
26,13.773749581071353
27,13.54962650630718
28,13.703251860016575
29,13.911723057828112
30,13.860541283338577
31,13.874013400987499
32,14.06418305497164
33,14.135836716813557
34,14.52307136138096
35,14.844376119639188
36,15.410671842603781
37,15.821223613168897
38,15.636891610634613
39,15.444282556573755
40,15.801095987171305
41,15.58753778741889
42,16.131505436536216
43,15.717266380729678
44,15.956621704687104
45,15.878943645361533
46,15.867860925302985
47,15.522525714832257
48,15.681545985235632
49,15.843112471833104
50,15.663848356148904
51,15.662659321507194
