month,volume
1,14.172896848835775
2,15.518057684398947
3,15.51012474795588
4,15.835324433826852
5,15.75651770693482
6,15.274144882803085
7,15.313490290604673
8,15.546597268800681
9,15.339184678487106
10,15.282972609112306
11,14.909835335043216
12,15.311586472536515
13,14.954205047572836
14,15.043114240708574
15,15.117052534104255
16,15.059914688509542
17,15.33997341869039
18,15.406937848500984
19,15.23443255133562
20,15.417829591199943
21,15.662415824485045
22,15.527796712939143
23,15.886989481979521
24,15.761257265092254
25,15.617639412144253
26,15.790620637662217
27,15.781096015286673
28,16.000316790293223
29,15.898460936469759
30,16.214659862318108
31,16.07441049901191
32,16.285253314872353
33,16.513708989356008
34,16.52637393171648
35,16.23205163946952
36,16.718615185500777
37,16.48454428638803
38,16.641984478330176
39,16.43617440268996
40,16.96016387488901
41,16.865184608078575
42,16.46433128441283
43,16.427346437315652
44,16.58567371589993
45,16.56541550012041
46,16.44731558163878
47,16.176098202857908
48,16.649425303040097
49,16.54218569969782
50,16.450219948978937
51,16.39304477742188
52,16.513285953577114
53,16.64052206460254
54,16.70408854134178
55,16.554803320982312
56,16.912099736126816
57,17.633013939016788
58,17.264780258905272
59,16.763782969604282
60,17.240983912589037
61,17.369498094359006
62,17.268389633577105
63,17.555581790063144
64,17.623207823280776
65,17.488596219157237
66,14.298886872942052
67,12.659810323561516
68,12.887347123664174
69,12.944080852727076
70,13.006604541672258
71,12.775415259852696
72,13.23998995637756
73,12.964970112743213
74,12.853107822445107
75,12.70564417891778
76,12.716957267555733
77,12.762437440423954
78,12.53134670162899
79,12.23726118698619
80,12.5434337726854
81,12.542341289999339
82,12.282227806476518
83,12.40960923040537
84,12.978125734005436
85,12.760963000458265
86,12.809828346174081
87,12.865787130001719
88,12.812059347076245
89,12.785544280634088
90,12.683638235941526
91,12.435508359603732
92,12.917103947563668
93,12.902843253540887
94,12.9533338883686
95,12.802031383454022
96,13.116598794074475
97,12.976731641448202
98,13.043222762722532
99,13.088566647820826
100,13.386335579216643
101,13.50115865284349
102,13.381226134127004
103,13.567100479402177
104,13.684041038218169
105,13.947454190765022
106,14.146267205969602
107,14.0160951588113
108,14.654914197967987
109,14.6996482775419
110,14.824348747747758
111,14.634445098379018
112,14.628506195284729
113,14.564559696687555
114,14.40925057754226
115,14.19262282969499
116,14.403260555527488
117,14.425063607003844
118,14.211082893562757
119,14.703293579006719
120,15.02993030248581
121,14.637537202688343
122,14.308935870560633
123,14.493414143031458
124,15.2264407007914
125,14.96091387099564
126,14.877294602574505
127,14.401600784728567
128,14.686588838016876
129,14.73627486844739
130,14.867836295805954
131,14.550000717308603
132,15.085316888296896
133,14.820817522427996
134,14.712374200019223
135,14.80442144145016
136,14.851395661812035
137,14.759061919322221
138,14.690767606246958
139,14.250690443204283
140,14.428158926851065
141,14.56783660986455
142,14.454202080711125
143,14.222017789539768
144,14.936229679950811
145,14.773913204054443
146,14.638258227761469
147,14.813039836058106
148,14.689719335235061
149,14.56439561610234
150,14.423991609289928
151,14.359669792157844
152,14.733838014306293
153,14.56383508022484
