week,index_level,max_52,ML,CCt
154,3272.73,3520.8,0.9295415814587593,0
155,3353.36,3520.8,0.9524426266757555,0
156,3358.94,3520.8,0.9540274937514202,0
157,3299.94,3520.8,0.9372699386503067,0
158,3192.72,3520.8,0.9068166325835036,0
159,3121.4,3520.8,0.8865598727561917,0
160,3128.09,3520.8,0.8884600090888435,0
161,3121.6,3520.8,0.8866166780277209,0
162,2963.31,3520.8,0.8416581458759372,0
163,2986.35,3520.8,0.8482021131561008,0
164,2961.93,3520.8,0.8412661895023857,0
165,2892.16,3520.8,0.8214496705294251,0
166,3027.47,3520.8,0.8598812769825038,0
167,3049.75,3520.8,0.8662093842308566,0
168,3109.18,3520.8,0.8830890706657577,0
169,3128.89,3520.8,0.8886872301749602,0
170,3067.99,3520.8,0.8713900249943194,0
171,2972.08,3520.8,0.8441490570324925,0
172,2897.42,3520.8,0.822943649170643,0
173,2875.37,3520.8,0.8166808679845489,0
174,2807.66,3520.8,0.7974494433083389,0
175,2901.22,3520.8,0.8240229493296977,0
176,2803.85,3520.8,0.7963673028857077,0
177,2751.1,3520.8,0.7813849125198817,0
178,2733.99,3520.8,0.7765252215405588,0
179,2669.48,3520.8,0.7582026812088162,0
180,2581.35,3520.8,0.7331714383094751,1
181,2653.78,3520.8,0.7537434673937742,0
182,2507.88,3520.8,0.7123040218132243,1
183,2709.02,3520.8,0.7694330833901386,0
184,2763.75,3520.8,0.7849778459441036,0
185,2695.0,3520.8,0.7654510338559418,0
186,2606.5,3358.94,0.7759888536264417,0
187,2569.97,3358.94,0.7651133988698815,0
188,2557.31,3358.94,0.7613443526826915,0
189,2503.46,3358.94,0.7453125093035303,0
190,2390.13,3358.94,0.7115726985298934,0
191,2359.16,3358.94,0.7023525278808195,0
192,2345.74,3358.94,0.6983572198372104,0
193,2290.6,3358.94,0.6819413267280748,0
194,2394.33,3358.94,0.7128230929995772,0
195,2504.09,3358.94,0.7455000684739829,0
196,2506.09,3358.94,0.7460954944119276,0
197,2533.62,3358.94,0.7542915324477364,0
198,2537.09,3358.94,0.7553245964500706,0
199,2648.02,3358.94,0.7883498960981739,0
200,2679.93,3358.94,0.7978499169380816,0
201,2664.3,3358.94,0.7931966632330438,0
202,2623.52,3358.94,0.7810559283583511,0
203,2552.94,3358.94,0.7600433470082824,0
204,2454.9,3358.94,0.7308555675302327,0
205,2519.83,3358.94,0.7501860706056077,0
206,2580.45,3358.94,0.7682334307847117,0
207,2626.84,3358.94,0.7820443354153394,0
208,2626.16,3358.94,0.7818418905964382,0
209,2715.88,3299.94,0.8230089031921792,0
210,2636.92,3192.72,0.8259164599463781,0
211,2573.98,3128.89,0.8226495658204668,0
212,2573.1,3128.89,0.8223683159203423,0
213,2633.0,3128.89,0.8415124852583504,0
214,2524.33,3128.89,0.8067813186145886,0
215,2568.05,3128.89,0.8207543250162199,0
216,2512.19,3128.89,0.8029013484015098,0
217,2461.61,3128.89,0.7867358711875458,0
218,2472.61,3128.89,0.7902514949390999,0
219,2450.63,3128.89,0.7832266394791764,0
220,2398.46,3128.89,0.7665529948320331,0
221,2349.11,3128.89,0.7507806282739247,0
222,2353.74,3067.99,0.7671928526494545,0
223,2399.75,2972.08,0.8074311593227639,0
224,2313.48,2901.22,0.7974162593667492,0
225,2275.68,2901.22,0.7843872577743156,0
226,2204.87,2901.22,0.7599802841563205,0
227,2317.18,2901.22,0.7986915849194477,0
228,2315.54,2803.85,0.8258430372523494,0
229,2199.06,2763.75,0.7956797829036635,0
230,2293.11,2763.75,0.8297096336499322,0
231,2304.53,2763.75,0.8338417005879694,0
232,2332.47,2763.75,0.8439511533242876,0
233,2247.91,2763.75,0.8133550429669832,0
234,2306.77,2763.75,0.8346521935775667,0
235,2240.92,2763.75,0.8108258706467661,0
236,2177.24,2763.75,0.7877847127996381,0
237,2192.68,2715.88,0.8073552587006789,0
238,2139.66,2715.88,0.7878330412242072,0
239,2246.76,2715.88,0.8272677732447679,0
240,2355.87,2715.88,0.8674425968746777,0
241,2372.0,2715.88,0.873381739988512,0
242,2480.05,2715.88,0.9131662665508049,0
243,2524.41,2715.88,0.9294998306258008,0
244,2483.23,2715.88,0.9143371577536562,0
245,2595.44,2715.88,0.9556534162039559,0
246,2571.67,2715.88,0.9469011885650324,0
247,2743.32,2715.88,1.0101035391843527,0
248,2771.73,2743.32,1.0103560649140457,0
249,2596.6,2771.73,0.9368156350005231,0
250,2668.84,2771.73,0.9628787796791174,0
251,2606.93,2771.73,0.9405425492382014,0
252,2539.87,2771.73,0.9163482734609792,0
253,2618.31,2771.73,0.9446482882531848,0
254,2495.08,2771.73,0.9001886908176482,0
255,2483.55,2771.73,0.8960288339773355,0
256,2462.11,2771.73,0.8882935928102665,0
257,2533.83,2771.73,0.9141691290277191,0
258,2447.31,2771.73,0.8829539673777749,0
259,2492.91,2771.73,0.8994057862778841,0
260,2540.84,2771.73,0.9166982353981088,0
261,2592.05,2771.73,0.9351740609655342,0
262,2597.23,2771.73,0.9370429298669062,0
263,2606.43,2771.73,0.9403621564871036,0
264,2484.16,2771.73,0.8962489131336746,0
265,2416.77,2771.73,0.871935578140728,0
266,2317.39,2771.73,0.8360807149325511,0
267,2200.64,2771.73,0.7939590075512405,0
268,2226.85,2771.73,0.8034151955637814,0
269,2275.37,2771.73,0.8209205081303013,0
270,2190.48,2771.73,0.7902934268489356,0
271,2224.01,2771.73,0.8023905647375467,0
