month,inventory
1,0.8870314804382278
2,0.932187239169669
3,0.9433710317695794
4,0.9540077058038483
5,0.9557304556314761
6,0.9500012775322875
7,0.9490460544311738
8,0.9583887573058925
9,0.9563351644518975
10,0.9545646355227861
11,0.9473307251567719
12,0.9610734564205342
13,0.9566296492283032
14,0.9604507685842376
15,0.9593888489644838
16,0.9590471239930757
17,0.9587793439525459
18,0.9597948846756935
19,0.9543229710065185
20,0.9647108214979498
21,0.9682283494797096
22,0.9596501151145528
23,0.9681250143587702
24,0.9733990456615497
25,0.9661144398617113
26,0.975530775179241
27,0.9726955611096706
28,0.9818513183506736
29,0.9848523174450169
30,0.9811767319309415
31,0.9790854731320832
32,0.9845798272387483
33,0.985141727188526
34,0.9856864545438706
35,0.9808494919136931
36,0.9858384202214096
37,0.9824970155121405
38,0.9911475888263682
39,0.9830839465247124
40,0.9841498646332338
41,0.9856895883887817
42,0.9816887935103507
43,0.9796050153856342
44,0.986903760844308
45,0.9921898361927717
46,0.9899075521889422
47,0.9825781315168196
48,0.9909022164678578
49,0.9923730970043781
50,0.9940779776815231
51,0.9978267681953632
52,1.0006582625167015
53,0.9990965624145706
54,1.0005299047845722
55,0.9957614577852053
56,1.001408759140172
57,1.0071268941201437
58,1.0035853837281257
59,0.9982462071462351
60,1.0082739594549543
61,1.003561664730272
62,1.0023584665666285
63,0.9988999354725044
64,0.9893986399060636
65,0.9848901968125549
66,0.9626757160805224
67,0.9555372958620132
68,0.9622973475489638
69,0.9618406638153298
70,0.9591040192653955
71,0.9558953903231531
72,0.9675323858693027
73,0.9638462254869139
74,0.9630244504392809
75,0.9589792786337539
76,0.9626272329261828
77,0.9673785664675262
78,0.9619082093002311
79,0.9545918725652249
80,0.9635445588086249
81,0.9616736276043015
82,0.9565817687247108
83,0.9569859481234305
84,0.9694777432551189
85,0.9620162494313632
86,0.962536006335312
87,0.9619792670628304
88,0.9607164280628947
89,0.9630131555649334
90,0.9603660902345056
91,0.9550218382513593
92,0.9633375368199382
93,0.960394414789089
94,0.9621521436818836
95,0.9517000065661941
96,0.9625480099725804
97,0.9576783100839896
98,0.9629225231278917
99,0.9620031084272007
100,0.9681522144825045
101,0.9705371183507715
102,0.9672037063707384
103,0.9679470608310413
104,0.9745159829500467
105,0.9761869374523572
106,0.9807893201117039
107,0.9730784908909463
108,0.9875154875223512
109,0.99020714549798
110,0.9892912686768683
111,0.98769109302748
112,0.9911795576329594
113,0.9901193859599657
114,0.9879353744671447
115,0.9836581683256301
116,0.9885639516589997
117,0.9907978962305979
118,0.9851245962780132
119,0.9925588664767804
120,0.9968566445323389
121,0.9948643187836544
122,0.9893014713481103
123,0.9937187426167687
124,1.0026370690231419
125,0.9998271089892201
126,1.0015031387978248
127,0.9933037646654226
128,1.0010757989311732
129,1.0029792499850658
130,1.0016081670212067
131,0.9946711185272019
132,1.0065307921948532
133,1.0038387918016263
134,1.0011277945533146
135,1.0045845345406075
136,1.0051679920023033
137,1.0037498929258846
138,1.0012260860197593
139,0.9935123814548273
140,1.0012884117529972
141,1.0039107908779106
142,1.0002723209706021
143,0.9961109151847751
144,1.0062124810527557
145,1.001994961584853
146,1.0019595357659714
147,1.0035494649389414
148,1.001984709361417
149,1.0026194041764422
150,0.9993210055197761
151,0.9939530702023106
152,1.0035951076191512
153,1.0039765261923264
