week,BASIS
1,59.26800000000003
2,31.715999999999894
3,34.602400000000124
4,57.077999999999975
5,16.171199999999864
6,27.069999999999983
7,21.952599999999894
8,16.796000000000003
9,13.745400000000064
10,20.950499999999693
11,15.147400000000108
12,16.03159999999998
13,0.7090000000001055
14,-4.813399999999911
15,2.065599999999904
16,-1.3849999999999454
17,3.046399999999994
18,-0.36459999999988213
19,16.947199999999885
20,10.939800000000014
21,9.83239999999987
22,14.804199999999764
23,10.22400000000007
24,18.548000000000002
25,11.669499999999971
26,9.966999999999643
27,13.195799999999963
28,58.709400000000095
29,91.4576
30,54.566000000000074
31,38.632200000000104
32,47.85100000000002
33,14.78060000000005
34,15.465199999999914
35,8.133200000000034
36,29.41899999999996
37,35.12379999999994
38,27.274200000000018
39,7.79725000000019
40,10.28159999999998
41,2.6763999999999215
42,11.816399999999977
43,5.70450000000028
44,-1.956000000000131
45,18.695199999999932
46,12.363999999999852
47,7.413199999999961
48,10.547999999999865
49,9.18779999999997
50,11.071600000000036
51,10.750600000000123
52,2.985333333333377
53,7.49340000000002
54,8.456600000000071
55,17.61279999999988
56,1.2817499999999882
57,-2.832200000000012
58,7.458999999999923
59,10.753000000000066
60,3.5022000000000846
61,-4.783750000000055
62,-0.1522000000000844
63,1.3100000000001273
64,1.8744000000000596
65,4.028999999999996
66,2.0415999999999257
67,9.63680000000004
68,3.442399999999725
69,4.780000000000018
70,1.1408000000000356
71,-4.91899999999996
72,2.468199999999979
73,-1.8627999999997882
74,4.118000000000029
75,0.7427500000000009
76,-0.8184000000000197
77,4.37520000000004
78,
79,-0.4434000000001106
80,3.7099999999999453
81,3.9518000000000937
82,6.944400000000042
83,5.999599999999918
84,7.259400000000096
85,4.0677999999999885
86,3.6932000000000698
87,7.996799999999984
88,12.756600000000072
89,11.743399999999928
90,12.006399999999939
91,9.486999999999776
92,11.94399999999987
93,16.82500000000018
94,
95,6.9795999999999365
96,3.2865999999999076
97,5.2289999999999965
98,5.298400000000129
99,8.988400000000002
100,6.1503999999999905
101,4.830600000000049
102,11.132399999999961
103,13.738800000000083
104,-0.3309999999999036
105,2.387999999999829
106,8.014000000000033
107,7.292400000000089
108,2.6386666666667224
109,-0.7878000000000611
110,-8.534600000000045
111,-14.797600000000148
112,-6.368199999999888
113,-9.636399999999957
114,-9.230799999999908
115,-3.607249999999908
116,9.166200000000027
117,5.027600000000075
118,7.454399999999987
119,13.711199999999916
120,14.739599999999882
121,19.922999999999956
122,4.373999999999887
123,16.578400000000055
124,15.769400000000042
125,13.946600000000036
126,13.989399999999932
127,9.794000000000143
128,11.3612000000001
129,11.523199999999814
130,
131,5.521599999999944
132,9.126200000000154
133,11.241199999999935
134,4.557199999999921
135,2.2959999999999128
136,1.307800000000043
137,5.323199999999997
138,6.652999999999975
139,5.048000000000139
140,5.837400000000071
141,14.890599999999996
142,11.865200000000005
143,11.919499999999744
144,4.9919999999999165
145,10.866000000000076
146,8.023799999999847
147,4.790800000000127
148,13.171600000000035
149,
150,9.50699999999988
151,-1.4390000000000327
152,-1.1860000000000581
153,-2.563799999999901
154,4.46800000000012
155,-1.3724000000001069
156,1.4916666666666363
157,-5.4851999999999865
158,-3.39220000000023
159,-3.50019999999995
160,-8.275499999999965
161,-5.629799999999887
162,-21.597600000000057
163,-13.674200000000019
164,-13.651200000000063
165,-3.246599999999944
166,-18.754000000000133
167,-13.961799999999858
168,-42.10039999999999
169,-54.51139999999996
170,-18.882800000000042
171,-16.077399999999944
172,-26.735199999999804
173,-14.001200000000063
174,-11.757000000000062
175,-2.8923999999999976
176,-0.6289999999999963
177,-3.714799999999923
178,-1.4524000000001251
179,-1.189799999999923
180,6.259333333333264
181,3.3565999999999803
182,0.5630000000001019
183,-0.30475000000001273
184,-4.802799999999934
185,-1.514800000000014
186,-1.6311999999999898
187,2.1023999999999434
188,-2.408000000000084
189,1.7865999999999076
190,8.039999999999873
191,12.161799999999948
192,7.517799999999989
193,9.825799999999981
194,20.885600000000068
195,15.289750000000026
196,3.27579999999989
197,7.640399999999954
198,13.366800000000058
199,7.748750000000086
200,2.1169999999997344
201,-7.174199999999928
202,-2.1749999999999092
203,-9.18040000000019
204,-17.76220000000003
205,-28.230199999999876
206,-12.721199999999863
207,-18.702599999999983
208,-3.2453999999998815
209,5.009249999999952
210,2.943200000000161
211,-5.602200000000084
212,-0.2326666666666218
213,-1.5441999999999099
214,-7.86279999999997
215,-14.100200000000223
216,-3.767200000000048
217,-5.977500000000077
218,-4.273400000000128
219,0.3591999999999643
220,-10.447200000000066
221,-10.366200000000209
222,-12.545600000000196
223,-7.722799999999916
224,-0.9789999999999963
225,11.414000000000033
226,4.523000000000048
227,5.983599999999933
228,1.3844000000000052
229,11.93700000000008
230,8.060399999999845
231,4.182749999999828
232,4.689000000000033
233,14.477599999999985
234,4.8064999999999145
235,0.4243333333333794
236,-1.6617999999998574
237,6.122999999999957
238,8.616200000000026
239,2.722400000000016
240,-6.420600000000013
241,8.621199999999954
242,20.810800000000107
243,35.93259999999991
244,33.16420000000007
245,86.13559999999998
246,20.87039999999997
247,34.5619999999999
248,9.80559999999996
249,30.578799999999866
250,-4.96140000000014
251,4.67460000000001
252,14.33219999999992
253,16.542000000000098
254,40.497499999999945
255,23.24433333333339
256,12.189799999999831
257,11.13700000000008
258,4.887800000000152
259,4.397000000000025
260,10.56180000000013
261,-17.95024999999987
262,7.149599999999737
263,1.9540000000000872
264,-2.4662499999999454
265,7.160399999999754
266,-42.28740000000016
267,29.36160000000018
268,81.22340000000004
269,76.59859999999989
270,-24.445800000000055
271,-14.323999999999979
272,-80.08200000000011
273,-79.01619999999994
274,-83.27199999999985
275,-108.95440000000008
276,-170.13240000000025
277,-144.38279999999986
278,-104.65740000000014
279,-58.232600000000005
280,-100.64200000000001
281,-193.89540000000005
282,-353.1503333333333
283,-63.632400000000146
284,-79.25680000000003
285,-99.25099999999993
286,-90.11799999999978
287,-55.898949999999786
288,-35.30568000000003
289,-121.66283999999987
290,-106.68914000000004
291,-61.427260000000025
292,-42.48091999999997
293,-64.28903999999993
294,-97.21034000000009
295,-53.35067999999992
296,-45.06172000000006
297,-32.03023999999996
298,-54.096340000000055
299,-71.82150000000001
300,-58.12024000000001
301,-34.148059999999894
302,-84.00802000000003
303,-53.63855999999996
304,-14.313839999999981
305,
306,-39.54905999999992
