week,amount
1,6.405856360032667
2,8.768549396602253
3,8.809270092446013
4,8.819118347856024
5,9.294619937631401
6,9.441080595371464
7,9.537519561685803
8,9.639133910568766
9,9.330318330359635
10,8.247547481450555
11,9.316848528841843
12,9.319140963781173
13,9.484244715924046
14,9.584804545135796
15,9.624377964453094
16,9.461771237922406
17,9.605233122479312
18,9.60818652945111
19,9.519975698643803
20,9.476817704631298
21,9.38814591357309
22,9.238789821249123
23,9.294393795197475
24,8.105977580816312
25,8.609699443887829
26,7.3002297057186345
27,9.3775440608327
28,9.75985214296362
29,9.60089419066681
30,9.566211793176969
31,9.399249350652145
32,9.550144907460162
33,9.402201284095321
34,9.13817282367412
35,9.16753516218392
36,9.04968910906757
37,9.2819417051337
38,9.218070418038094
39,8.90924203592619
40,9.180620066693724
41,9.29112465077172
42,9.259461909806726
43,7.841929150054509
44,8.551037941478738
45,9.200898941611193
46,9.252779937522734
47,9.220319415288431
48,9.147333477299739
49,9.218800484093881
50,9.087812221046145
51,9.102895463257473
52,8.495632419489146
53,9.103437556474047
54,8.957261960219405
55,8.957883863198125
56,8.689284261450355
57,8.998191160803186
58,8.906047772052265
59,8.916120977724033
60,8.851896721941452
61,8.70519193577448
62,8.91313577048432
63,9.007063171417967
64,9.088026964665694
65,9.059376774668335
66,8.999979769525403
67,8.822784924161558
68,8.813065135130053
69,8.788347936914857
70,9.205904548240898
71,8.945272656475819
72,9.148331980692237
73,9.194883528069537
74,9.094274985315797
75,8.94512795537134
76,9.171394740984335
77,9.185085126137405
78,-inf
79,9.238939490567677
80,9.175714765132364
81,9.306900679136492
82,9.28816677931569
83,9.136055307219415
84,9.057344192123955
85,8.972449866884153
86,9.140370594900885
87,9.148230898312672
88,9.144883028850943
89,9.424609461482515
90,9.253097133626852
91,8.686500428132508
92,9.507943319401766
93,9.687113536128738
94,-inf
95,9.47670968245217
96,9.609574776167033
97,9.64258826446651
98,9.533178658685268
99,9.513460413386978
100,9.453007295912341
101,9.57493278983464
102,9.434417887010465
103,9.20682821155501
104,8.532109389736393
105,9.629304621963614
106,9.497014436558691
107,9.483697074533316
108,8.852032667237275
109,9.442972365311117
110,9.507180382212729
111,9.5218581045736
112,9.499535299485446
113,9.53642455338547
114,9.626635951552911
115,9.22799166720828
116,9.38314091408093
117,9.63118264316856
118,9.686509952612834
119,9.681020022667921
120,9.462055830944644
121,9.349961434863076
122,9.391689789729396
123,9.41052394881532
124,9.433746288869534
125,9.423670327088615
126,9.689451774252616
127,9.899962848057088
128,9.778854735601083
129,9.959781870930893
130,-inf
131,9.920872553845964
132,9.915575695649311
133,9.713904494743879
134,9.719634423483924
135,9.849981812494649
136,9.808839453507948
137,9.851037273310197
138,9.618854161462366
139,10.014523432801935
140,10.076550126940482
141,10.258753854804874
142,10.110805334362118
143,9.148112778587018
144,10.238927113273954
145,10.36007692408025
146,10.318376450258686
147,10.305813739381444
148,10.324341640544228
149,-inf
150,10.151350642907458
151,10.412595902631375
152,10.487230775957824
153,10.506520456178626
154,10.37859190096767
155,10.322363992019229
156,9.835560898151938
157,10.209338565603229
158,10.36054904242955
159,10.298579713834913
160,9.323242180469956
161,10.311258666434668
162,10.345491254488154
163,10.29631919339793
164,10.20624602772974
165,10.069589530243126
166,9.033189026575272
167,10.200182263870095
168,10.50699608968067
169,10.384203289241224
170,10.385708125095427
171,10.486168985668648
172,10.464146795882552
173,10.378516346963233
174,10.421899427791743
175,10.470113284729473
176,10.364398404999074
177,10.34463828657931
178,10.132663671270846
179,10.278394135512974
180,9.78293838215416
181,10.208090530580273
182,8.1836737908803
183,9.93648848210678
184,10.174434114277133
185,10.254621423043291
186,10.265446859601647
187,10.161185562335973
188,10.250926576369553
189,10.221523741950802
190,10.201229355797278
191,10.243747250519018
192,10.019948826160926
193,10.109434079021817
194,10.191810419635159
195,9.809312028766108
196,10.09016502520532
197,10.085939934105483
198,10.027351175008448
199,9.565976376404118
200,8.09737456262716
201,9.92268901877905
202,10.045922441144633
203,10.104321689186495
204,10.143165258248791
205,10.1358314505654
206,10.220071172449892
207,10.155207287558047
208,10.08290447830409
209,9.95921218900837
210,10.127015829833805
211,10.10954720147007
212,9.310856974807876
213,10.042132349397411
214,9.983668404513455
215,10.049241074712013
216,9.98902697172722
217,9.698152607465145
218,10.126024920158123
219,9.898545862473895
220,9.878125128171927
221,9.872479740987478
222,9.758967432968923
223,9.869871822078636
224,10.038021067867918
225,10.338224366661478
226,10.398007559331557
227,10.342453843294102
228,10.139318675139451
229,10.036005056349053
230,10.27564300273045
231,10.116497128135485
232,10.426251727354744
233,10.441901300167872
234,9.120688056230211
235,9.705822889982004
236,10.49281081404654
237,10.217101225812828
238,10.428458655597924
239,10.418438256448015
240,10.762294076328683
241,10.614870692632481
242,10.837932494990325
243,11.420374335483679
244,11.610842425984359
245,11.433291715328622
246,11.479312733650898
247,10.970601090144863
248,11.446976669863634
249,11.303243769900702
250,11.34978716723295
251,11.256342625809603
252,11.242546427847657
253,11.150432198803419
254,9.831894875911143
255,10.416504573436528
256,11.086594929994446
257,11.159231359628796
258,11.317420426719973
259,11.410243802423683
260,11.560981169013651
261,11.349862740583987
262,11.68641034307019
263,11.654940519355035
264,11.344103655164849
265,11.577087915402075
266,11.561373665914996
267,11.611124649397203
268,11.800238219232442
269,11.9097210343274
270,11.80514938261027
271,11.894900358983799
272,11.711646069331021
273,12.041496247954635
274,11.199547803782286
275,11.72037222370112
276,11.690185483765472
277,11.695021913095795
278,11.487839732618408
279,11.671786718318906
280,11.766656493142278
281,11.29200668701146
282,9.699659377477646
283,7.240169292142496
284,7.139517581921962
285,6.7064343721784
286,5.9945348289652
287,5.804200797774708
288,6.987083885592344
289,6.817764923785166
290,6.766007365871921
291,6.941731494537068
292,6.886092322345878
293,7.052669144771123
294,6.834743628724812
295,6.920256808205062
296,6.859688353212751
297,7.135567913144609
298,6.789163166111037
299,6.53855941734681
300,6.763064710860371
301,7.171149781802571
302,6.924700887708279
303,6.8844457095465135
304,6.798620984904737
305,-inf
306,6.9375082371314845
307,6.889020880925886
308,7.016537932441222
309,7.011953118994513
310,7.242690620899774
311,6.85767177881415
312,6.919881458779978
313,6.683911482553534
314,7.20326414204193
315,6.846039437001483
316,6.652979151643151
317,6.476125850853293
318,6.724721468595804
319,6.906244137783186
320,6.501935107846555
321,6.658075228663364
322,5.965967235834453
323,6.925958588836011
324,6.575842631616941
325,6.426019091659366
326,6.550408680962865
327,6.93812928283712
328,6.442524242774538
329,6.584653261299096
330,6.390291001369027
331,6.530731844505276
332,6.990256500493881
333,6.492027691307464
334,6.484299301353054
335,6.628147190686801
336,6.4563614089855585
337,6.311934426251689
338,6.2267540369657475
339,-inf
340,6.318012702531502
341,6.7713855764499655
342,6.24436105657154
343,6.267598951141941
344,6.423052139361718
345,6.708328254285243
346,6.364888441004682
347,6.562839495738016
348,6.567811021867545
349,6.8139279991379835
350,6.155112838636315
351,6.125951732816734
352,5.9948836951536375
353,6.285904980304226
354,6.776187671155137
355,5.828798547972468
356,4.415340513703815
357,6.273650292389249
358,6.593688162585644
359,6.7465766273811285
360,6.733925564220849
361,6.757130044131145
362,7.118081032185689
363,6.823971415236425
364,6.8160456095540125
365,6.330807658820878
366,6.816779691245345
367,7.118348402117887
368,6.805146529296665
369,6.427765958258054
370,6.812235077124725
371,6.934611403151135
372,6.884752737416821
373,6.225033563905774
374,6.7580596606151175
375,7.019797422763675
376,6.8558196730935554
377,6.763168716823474
378,6.752305422256592
379,6.879067697117883
380,7.108080460215667
381,6.733663762308199
382,6.695625848931027
383,6.774589533786159
384,6.929037203734968
385,6.63784763462952
386,6.7330685029361215
387,6.716279953994724
388,7.053896828321335
389,6.7618273660210635
390,6.538024042825084
391,-inf
392,6.690432255482858
393,6.9455615307178915
394,6.613518437559682
395,6.839337242246028
396,6.867495626318058
397,7.1069503407777175
398,7.132018203564263
399,7.104029049394096
400,7.06368152441656
401,7.2735505064097215
402,6.920167922388711
403,6.910002751522616
404,6.685873431384937
405,6.923096990781335
406,7.358875483335689
407,7.096944863453911
408,7.242218355735578
409,7.451427498153073
410,6.753169504514932
411,6.132312855695361
412,7.143127751308916
413,7.199409452186318
414,7.306564955423459
415,7.187626929341941
416,7.176208659405379
417,6.600754462143956
418,7.1364036509307915
419,7.412607095036433
420,7.168402685877354
421,6.544918532929596
422,7.087323047579471
423,7.197412898754651
424,7.019153530772193
425,7.087665597743443
426,7.011998170330518
427,7.325939159498076
428,6.956431150906173
429,7.231163986631002
430,7.347911626880232
431,7.306880331344103
432,7.475815313700223
433,7.20990222884444
434,7.339122024612955
435,7.364578679365444
436,7.504914550130921
437,7.351652327705837
438,7.198497663897176
439,7.3644330115574546
440,7.364730657936757
441,7.602755741154327
442,7.12619176944693
443,-inf
444,7.5061741104414414
445,7.669621293484176
446,7.716376164078118
447,7.6701999512942365
448,7.560590751470215
449,7.680083257416523
450,7.46285230122825
451,7.432258930563096
452,7.800056550996087
453,7.803716764920854
454,8.072807405139793
455,7.866223885755161
456,7.451810628799504
457,7.976087038359714
458,8.077602368578697
459,7.9296520963593755
460,7.986229484094907
461,-inf
462,8.11539236163273
463,8.30003668194615
464,8.720848881890108
465,8.840203796921314
466,8.815107238224249
467,8.68032853089434
468,8.609732262515685
469,8.40759928313893
470,8.782490074627676
471,8.906062684263402
472,8.97917976981813
473,7.962955416011804
474,9.073880123007669
475,8.911086267758176
476,8.825471693666668
477,8.852900850107938
478,8.55345182964618
479,8.769040810858803
480,8.941984996590291
481,8.676177882845755
482,8.60410823043218
483,8.67082202081753
484,8.779121976460942
485,8.561078010696395
486,8.486307088701013
487,8.602717463212853
488,8.642736262188528
489,8.501949595923477
490,8.616594989123817
491,8.67555840617279
492,8.38042915083955
493,8.620913362444131
494,8.440506512639315
495,6.714170529909472
496,8.203637943116766
497,8.626311238701659
498,8.397790094168457
499,8.43407024467341
500,8.567513612716196
501,8.552838288898828
502,8.48537636174851
503,8.435251849142858
504,8.382033044519892
505,8.398101049253725
506,8.67521864033477
507,8.507544794976287
508,8.427550719767117
509,8.655942447284419
510,8.630914656717936
511,8.499597287514014
512,-inf
513,8.897657706179492
514,8.719068978645353
515,8.904450879208747
516,9.000377078196276
517,8.973252549637426
518,9.101140272318556
519,9.271430767656069
520,9.001343778887831
521,8.870467760628094
522,8.504602257236808
523,8.750550009310016
524,8.585122831205972
525,8.466512341025517
526,8.066056850212487
527,8.674591734079424
528,8.510849110221152
529,8.520090988743046
530,8.52282729003333
531,8.670899200963747
532,8.828352015647896
533,8.163935259977972
534,8.988992707092153
535,9.495503524611506
536,9.587782477897923
537,9.428070899274509
538,9.294619937631401
539,9.329779812813529
540,9.287355115374023
541,9.2906190518061
542,9.142354850085074
543,9.202445287656209
544,9.210649324245516
545,9.22336912792967
546,8.99530386955587
547,8.369089856152772
548,7.225918058687505
549,9.049251008397245
550,8.966145539121452
551,8.962046947293825
552,9.03605483967207
553,9.07126564341551
554,8.954819537732698
555,8.981273059784318
556,9.125629619247178
557,9.032584775303006
558,9.016845424696458
559,8.941983688777613
560,8.790336080316862
561,9.290352309945568
562,9.54270991834713
563,9.3083405668073
564,9.318913122877722
565,9.184315647518643
566,8.795270283374549
567,8.601830251946039
568,9.463868792012043
569,9.375656485703956
570,9.509114450055076
571,9.49183056424215
572,9.234432804494523
573,9.11109556165544
574,8.864222364118813
575,9.288186206752133
576,9.176666725362653
577,9.211486714674251
578,8.363701627657585
579,9.253699624932182
580,9.274016333716332
581,9.26362613008891
582,9.301725586444489
583,9.238348457915361
584,9.103683460805149
585,9.092763315104714
586,9.048444777576478
587,9.0969510448305
588,9.275513691586562
589,9.00500112911896
590,9.259013386426712
591,9.021369960454264
592,9.020404298190577
593,9.185745379620801
594,8.9324911317257
595,9.108262241172033
596,9.09074682332984
597,9.219958964642005
598,8.38313823318373
599,8.739704542934263
600,7.354157574975546
601,8.97152973023289
602,8.830244720518493
603,8.777620195991561
604,8.751118411095124
605,8.790363475367188
606,8.806530393385154
607,8.521258915148964
608,8.62367707585901
609,8.942357653514222
610,9.070996692117061
611,8.702014953424033
612,8.71131814655133
613,8.639582490820848
614,8.768638055634451
615,8.946436022185868
616,8.91441508405359
617,-inf
618,8.812236106274192
619,8.769706012448731
620,8.75951643094232
621,8.669795816481939
622,9.150951236631926
623,9.376512221430442
624,8.87743217660791
625,8.902603880531354
626,8.342132411270875
627,9.107661812212877
628,8.926164146853647
