week,volume
1,10.976046720208542
2,13.40048590263707
3,13.474156223272667
4,13.527369713626095
5,14.049264024538221
6,14.22934719351536
7,14.293016598609062
8,14.425491323820532
9,14.131017405829851
10,13.03832503112138
11,14.105565562783802
12,14.169574997499433
13,14.351228774323303
14,14.420755055348309
15,14.427648855920635
16,14.230652032007907
17,14.355096801431191
18,14.366497798248957
19,14.248534411280268
20,14.223788373366629
21,14.124936754140677
22,13.959933793525876
23,14.02896411253545
24,12.858900309473361
25,13.352349067807799
26,11.99689979787554
27,14.019632744717082
28,14.338720182468446
29,14.149486825100771
30,14.112381780555564
31,13.945652462759522
32,14.188088771871508
33,14.05357897727263
34,13.793506228700126
35,13.821364390803272
36,13.672670834075024
37,13.917040446127887
38,13.88604264425211
39,13.558175326684344
40,13.84566238821344
41,13.999243618118495
42,13.9721099515291
43,12.527054088382881
44,13.233217575119172
45,13.834674746207488
46,13.895042365920004
47,13.85156472443472
48,13.755397430312392
49,13.856124530849529
50,13.717048415941981
51,13.725028802534917
52,13.104761366973717
53,13.702141391837934
54,13.563312739609227
55,13.592479500322414
56,13.350129826640757
57,13.665374641511827
58,13.574034997464787
59,13.619328993481219
60,13.56984784290763
61,13.423578464138695
62,13.639936187627562
63,13.740311683300417
64,13.784630643438065
65,13.732429990664164
66,13.676131242378148
67,13.499464675649728
68,13.527541777749084
69,13.51566953077756
70,13.977186282064276
71,13.700318537726492
72,13.914141581295317
73,13.958036503049103
74,13.889067664133472
75,13.750172784176048
76,13.987582264053469
77,14.029115157797218
79,14.085994842577934
80,14.033754927863576
81,14.147273867829181
82,14.093355150694958
83,13.939027346420144
84,13.873221763431218
85,13.827207876796415
86,14.000911535139268
87,14.029160386164135
88,14.071187899327882
89,14.371793942463047
90,14.213696570956865
91,13.658290505762718
92,14.436464393839454
93,14.599461415645228
95,14.379157637883615
96,14.496735449639214
97,14.519037185214808
98,14.391874452951138
99,14.341731463874824
100,14.28877013086797
101,14.411782785099966
102,14.287359358833337
103,14.094560228213272
104,13.424250084648069
105,14.51059236592523
106,14.353908546290805
107,14.327856824966071
108,13.67095057337195
109,14.26532040842406
110,14.360456409494587
111,14.380334474309224
