week,index_level,max_52,ML,mean_52,std_52,mean-2.5*std,CC
1,3650.7,,,,,,0
2,3783.73,,,,,,0
3,3272.5,,,,,,0
4,3803.07,,,,,,0
5,3959.12,,,,,,0
6,3878.92,,,,,,0
7,3936.12,,,,,,0
8,3675.15,,,,,,0
9,3611.33,,,,,,0
10,3489.5,,,,,,0
11,2979.12,,,,,,0
12,2849.67,,,,,,0
13,2816.02,,,,,,0
14,2741.85,,,,,,0
15,2953.5,,,,,,0
16,2815.46,,,,,,0
17,2939.2,,,,,,0
18,2840.79,,,,,,0
19,2591.46,,,,,,0
20,2447.62,,,,,,0
21,2404.93,,,,,,0
22,2391.64,,,,,,0
23,2183.43,,,,,,0
24,2077.85,,,,,,0
25,2073.11,,,,,,0
26,2243.66,,,,,,0
27,1906.96,,,,,,0
28,1833.26,,,,,,0
29,1781.6,,,,,,0
30,1663.66,,,,,,0
31,1677.83,,,,,,0
32,1943.65,,,,,,0
33,1920.74,,,,,,0
34,1829.92,,,,,,0
35,2013.18,,,,,,0
36,1960.38,,,,,,0
37,2052.11,,,,,,0
38,1862.1,,,,,,0
39,1817.72,,,,,,0
40,1918.37,,,,,,0
41,1990.21,,,,,,0
42,2032.68,,,,,,0
43,2237.28,,,,,,0
44,2399.07,,,,,,0
45,2344.32,,,,,,0
46,2140.49,,,,,,0
47,2286.58,,,,,,0
48,2205.42,,,,,,0
49,2379.84,,,,,,0
50,2498.93,,,,,,0
51,2570.5,,,,,,0
52,2595.53,3959.12,0.6555825536988018,,,,0
53,2650.69,3959.12,0.6695149427145427,,,,0
54,2572.89,3959.12,0.649864111216634,,,,0
55,2622.93,3959.12,0.6625032835579624,,,,0
56,2789.22,3959.12,0.7045050415243791,,,,0
57,2796.12,3959.12,0.7062478530582553,,,,0
58,2740.68,3936.12,0.6962897472638029,,,,0
59,2759.71,3936.12,0.7011244575876752,,,,0
60,2939.31,3675.15,0.799779600832619,,,,0
61,2906.29,3611.33,0.8047699877884326,,,,0
62,3080.0,3489.5,0.8826479438314945,,,,0
63,3128.42,3080.0,1.0157207792207792,,,,0
64,3327.14,3128.42,1.0635208827459228,,,,0
65,3398.31,3327.14,1.0213907440023564,,,,0
66,3519.81,3398.31,1.0357530654943192,,,,0
67,3667.56,3519.81,1.0419766976058367,,,,0
68,3734.62,3667.56,1.0182846361068394,,,,0
69,3555.1,3734.62,0.9519308524026541,,,,0
70,3344.46,3734.62,0.8955288623742175,,,,0
71,3203.62,3734.62,0.8578168595466206,,,,0
72,3046.78,3734.62,0.8158206189652496,,,,0
73,3077.14,3734.62,0.8239499601030359,,,,0
74,3238.13,3734.62,0.8670574248517922,,,,0
75,3199.69,3734.62,0.8567645436483498,,,,0
