month,index_level,max_12,ML,mean_12,std_12,CCt
1,3790.53,,,,,
2,3959.12,,,,,
3,3611.33,,,,,
4,2791.82,,,,,
5,2805.21,,,,,
6,2391.64,,,,,
7,2243.66,,,,,
8,1663.66,,,,,
9,1829.92,,,,,
10,1817.72,,,,,
11,2032.68,,,,,
12,2140.49,,,,,
13,2507.79,3959.12,0.6334210632665845,,,
14,2622.93,3959.12,0.6625032835579624,,,
15,2759.71,3611.33,0.7641810634863057,,,
16,3166.47,2805.21,1.1287818024319034,,,
17,3734.62,3166.47,1.1794269328305653,,,
18,2830.27,3734.62,0.757846849210897,,,
19,3004.81,3734.62,0.8045825278073807,,,
20,3280.37,3734.62,0.8783678125217559,,,
21,3511.67,3734.62,0.9403018245497534,,,
22,3575.68,3734.62,0.9574414532134461,,,
23,3204.16,3734.62,0.8579614525708104,,,
24,3281.67,3734.62,0.87871590683925,0.8695287332224878,0.17395223742896712,
25,3345.61,3734.62,0.89583679196277,0.8702943310238846,0.16587815340417797,0
26,3067.37,3734.62,0.8213338974246376,0.8921623084152334,0.14816334679090767,0
27,2773.26,3734.62,0.7425815745644805,0.9053981929041229,0.13199424336680604,0
28,2563.07,3734.62,0.6863000787228688,0.903598235493971,0.134223483417545,1
29,2868.85,3734.62,0.7681772174946848,0.8667247585182181,0.12734005617529184,0
30,2903.19,3575.68,0.8119266824771793,0.8324539489068946,0.08323324090067061,0
31,2935.57,3575.68,0.8209823026669054,0.8369606016790847,0.08023654042360603,0
32,3379.98,3575.68,0.9452691516019331,0.8383272495840451,0.07977324697618991,0
33,3136.99,3575.68,0.8773128467871845,0.8439023611740599,0.08499295241387933,0
34,3128.26,3575.68,0.8748713531412208,0.8386532796938458,0.08031449053760163,0
35,3076.51,3379.98,0.9102154450618052,0.8317724380211605,0.07235490696690329,0
36,3239.56,3379.98,0.9584553754755946,0.83612693739541,0.0755750434258284,0
37,3223.29,3379.98,0.9536417375250741,0.8427718931151054,0.08281854221655208,0
38,3192.72,3379.98,0.9445973053094988,0.8475889719119643,0.0877215678961664,0
39,3001.56,3379.98,0.8880407576376191,0.8578609225690358,0.0915030751517006,0
40,3044.09,3379.98,0.9006236723294221,0.8699825211584641,0.08418552937867659,0
41,2972.08,3379.98,0.8793188125373522,0.8878428206256768,0.06129733335866896,0
42,2846.78,3379.98,0.84224758726383,0.8971046202125658,0.04866810119001328,0
43,2581.35,3379.98,0.7637175367901585,0.8996313622781201,0.04444795187975,1
44,2695.31,3379.98,0.7974337126255184,0.8948592984550578,0.05538743453890586,1
45,2521.52,3239.56,0.7783526157873292,0.8825396785403564,0.059448038437433556,1
46,2345.74,3239.56,0.7240921606637938,0.8742929926237019,0.06666489627319631,1
47,2464.26,3239.56,0.7606773759399426,0.8617280599172497,0.07951656051633323,0
48,2634.14,3239.56,0.8131165960809492,0.8492665541570945,0.0828736508538066,0
49,2454.9,3223.29,0.7616131344061503,0.8371549892075407,0.07578246544963818,0
50,2626.16,3192.72,0.8225462928161568,0.821152605614297,0.06891186511581288,0
51,2632.04,3044.09,0.8646393503477229,0.8109816879065185,0.057016165465352577,0
52,2461.61,3044.09,0.8086521751984994,0.8090315706323605,0.05448492985165137,0
53,2332.92,2972.08,0.7849452235471455,0.8013672792047837,0.04628058485615116,0
54,2204.87,2846.78,0.7745136610486233,0.7935028134555996,0.03932598306669808,0
55,2293.11,2695.31,0.850777832605526,0.7878583196043324,0.03644930924805072,0
56,2254.82,2695.31,0.8365716745012634,0.7951133442556132,0.03972466227374988,0
57,2139.66,2634.14,0.8122802888229175,0.7983748410785919,0.04149950428999461,0
58,2522.95,2634.14,0.9577888798621181,0.8012021471648909,0.04116579060154935,0
59,2686.88,2634.14,1.0200217148670914,0.8206768737647513,0.05449196821490678,0
60,2673.33,2686.88,0.9949569761210028,0.8422889020086802,0.07579673137373878,0
61,2495.08,2686.88,0.9286160900375156,0.8574422670120181,0.08681098229921548,0
62,2447.31,2686.88,0.9108371047460251,0.8713591799812984,0.08336989752915468,0
63,2606.43,2686.88,0.9700582087774667,0.8787167476421208,0.08256245070026406,0
64,2200.64,2686.88,0.8190317394152324,0.8875016525112661,0.08644553497434368,0
65,2193.02,2686.88,0.8161957363187042,0.8883666161959941,0.08563296235985955,0
66,2313.91,2686.88,0.8611884416125766,0.8909708255936238,0.08262418489960803,0
67,2409.04,2686.88,0.8965938188530935,0.8981937239739533,0.0749502812919418,0
68,2373.72,2686.88,0.8834484606681354,0.9020117228279173,0.07346759265906419,0
