month,index_turnover_rate
1,0.5618181818181818
2,0.4725
3,0.3489473684210526
4,0.45454545454545453
5,0.5609090909090909
6,0.5531578947368421
7,1.161875
8,0.7781818181818182
9,0.4330434782608696
10,0.43600000000000005
11,0.5473333333333333
12,0.5447826086956521
13,0.5263157894736842
14,0.30523809523809525
15,0.31047619047619046
16,0.3595238095238095
17,0.3017391304347826
18,0.2123809523809524
19,0.301875
20,0.2736363636363636
21,0.20363636363636364
22,0.31466666666666665
23,0.36523809523809525
24,0.35454545454545455
25,0.32294117647058823
26,0.32727272727272727
27,0.23700000000000002
28,0.23363636363636361
29,0.2034782608695652
30,0.27349999999999997
31,0.22944444444444445
32,0.19318181818181818
33,0.40619047619047616
34,0.513
35,0.502
36,0.41571428571428576
37,0.30777777777777776
38,0.38272727272727275
39,0.37823529411764706
40,0.3495652173913043
41,0.3559090909090909
42,0.4794736842105263
43,0.4066666666666667
44,0.3304761904761905
45,0.29545454545454547
46,0.2571428571428572
47,0.408125
48,0.3352380952380952
49,0.2980952380952381
50,0.22549999999999998
51,0.2185
52,0.3791304347826087
53,0.46523809523809523
54,0.5609523809523809
55,0.6022222222222222
56,0.9724999999999999
57,1.8778260869565215
58,1.3125
59,0.8586666666666666
60,1.4163636363636363
61,2.0557142857142856
62,1.7329999999999999
63,1.9838095238095237
64,1.7817391304347825
65,1.0861904761904762
66,0.6735
67,0.7511764705882352
68,0.8757142857142858
69,0.6069565217391304
70,0.5055
71,0.43875
72,0.5460869565217391
73,0.422
74,0.3066666666666667
75,0.34199999999999997
76,0.4423809523809523
77,0.41086956521739126
78,0.28650000000000003
79,0.3675
80,0.5736363636363636
81,0.465
82,0.3333333333333333
83,0.4011111111111111
84,0.3765217391304348
85,0.5144444444444445
86,0.39649999999999996
87,0.36727272727272725
88,0.49666666666666665
89,0.5082608695652173
90,0.4519047619047619
91,0.4194117647058824
92,0.5559090909090909
93,0.37
94,0.6427272727272727
95,0.5573333333333333
96,0.40863636363636363
97,0.36333333333333334
98,0.2981818181818182
99,0.312
100,0.3145454545454545
101,0.2782608695652174
102,0.2594736842105263
103,0.35888888888888887
104,0.35000000000000003
105,0.2645
106,0.3063636363636364
107,0.6933333333333334
108,0.8157142857142856
109,0.6799999999999999
110,0.4145
111,0.3868421052631579
112,0.34043478260869564
113,0.34863636363636363
114,0.396
115,0.2977777777777778
116,0.31952380952380954
117,0.4145454545454545
118,0.489375
119,0.6605000000000001
120,0.6018181818181818
121,0.38333333333333336
122,0.3561111111111111
123,0.4605
124,0.9369565217391305
125,0.6676190476190476
126,0.43636363636363634
127,0.409375
128,0.5609523809523809
129,0.5182608695652174
130,0.754
131,0.7233333333333333
132,0.6291304347826087
133,0.47333333333333333
134,0.5327777777777778
135,0.4928571428571428
136,0.6277272727272728
137,0.6781818181818182
138,0.834
139,0.53125
140,0.48863636363636365
141,0.5447826086956521
142,0.5131578947368421
143,0.48375
144,0.5060869565217392
145,0.5026315789473684
146,0.4410526315789474
147,0.5980952380952381
148,0.43428571428571433
149,0.3769565217391304
150,0.3442857142857143
151,0.371875
152,0.4604545454545455
153,0.3727272727272727
