week,spread
1,2.0474
2,2.0187999999999997
3,1.9746200000000003
4,1.94245
5,1.8994
6,1.78708
7,1.75942
8,1.73186
9,1.7097714285714287
10,1.66765
11,1.5494400000000002
12,1.47604
13,1.4146400000000001
14,1.41404
15,1.3986399999999999
16,1.39542
17,1.40828
18,1.40002
19,1.40158
20,1.42652
21,1.38852
22,1.42122
23,1.4568833333333335
24,1.4578
25,1.4613999999999998
26,1.4556499999999999
27,1.49084
28,1.6214400000000002
29,1.72546
30,1.8433999999999997
31,1.9122
32,1.86202
33,1.7605799999999998
34,1.41406
35,1.3237599999999998
36,1.09612
37,0.88026
38,0.8583999999999999
39,1.0459
40,1.3019200000000002
41,1.2474399999999999
42,1.1268999999999998
43,1.1221500000000002
44,1.1456
45,1.1489
46,1.0806999999999998
47,1.12972
48,1.42134
49,1.3330600000000001
50,1.21738
51,1.193266666666667
52,1.201
53,1.1719199999999999
54,1.1802800000000002
55,1.1960799999999998
56,1.1603500000000002
57,1.1443999999999999
58,1.00264
59,0.90234
60,0.9099599999999999
61,0.8873250000000001
62,0.68412
63,0.37548000000000015
64,0.46642
65,0.62644
66,0.62212
67,0.5108400000000002
68,0.4385199999999999
69,0.51246
70,0.53044
71,0.4812800000000002
72,0.45465999999999995
73,0.3235599999999999
74,0.2469999999999999
75,0.27737500000000015
76,0.25359999999999994
77,0.33836000000000005
78,0.51742
79,0.65616
80,0.65974
81,0.696
82,1.01122
83,1.1014199999999996
84,0.9910399999999999
85,0.9915600000000001
86,0.9437000000000001
87,0.9483
88,0.91568
89,0.8415666666666667
90,0.7979000000000002
91,0.7918800000000001
92,0.7266166666666667
93,0.7150400000000001
94,0.77918
95,0.62024
96,0.6417999999999999
97,0.62738
98,0.6505400000000001
99,0.71926
100,0.7338000000000002
101,0.7307285714285714
102,0.74885
103,0.76366
104,0.75754
105,0.76435
106,0.7544000000000001
107,0.7768200000000001
108,1.0865399999999998
109,1.1193
110,1.2099800000000003
111,1.22078
112,1.263
113,1.3125999999999998
114,1.1837000000000002
115,1.11554
116,1.11522
117,1.1395
118,1.08372
119,1.0130599999999998
120,0.90784
121,0.85944
122,0.73096
123,0.8083200000000001
124,0.8665200000000001
125,0.8772400000000001
126,0.86952
127,0.7652166666666668
128,0.79982
129,0.81802
130,0.7270999999999999
131,0.75312
132,0.7163200000000002
133,0.7033800000000001
134,0.6982400000000001
135,0.6909399999999998
136,0.70796
137,0.71662
138,0.74298
139,0.7077399999999999
140,0.742075
141,0.7857200000000001
142,0.8371199999999999
143,0.8540600000000002
144,0.87714
145,0.9491599999999998
146,0.8743400000000001
147,0.82402
148,0.8290000000000001
149,0.8423400000000001
150,0.8859600000000001
151,0.94572
152,0.9060499999999999
153,0.9310600000000001
154,0.9055399999999999
155,0.7290857142857143
156,0.7199
157,0.71748
158,0.6863999999999998
159,0.64376
160,0.6275799999999999
161,0.49161428571428567
162,0.3348
163,-0.05009999999999994
164,-0.21075999999999998
165,-0.012400000000000055
166,0.050820000000000046
167,0.12948000000000012
168,0.07910000000000003
169,0.25889999999999996
170,0.3562800000000001
171,0.4435999999999999
172,0.41941999999999996
173,0.4205799999999999
