month,index_level,diff,is_rising,pli
1,3067.365,7.300999999999931,1,0.18181818181818182
2,2773.264,-77.03800000000001,0,0.45
3,2563.07,-28.948999999999614,0,0.3684210526315789
4,2868.846,-9.13000000000011,0,0.6818181818181818
5,2903.188,-11.822000000000116,0,0.5909090909090909
6,2935.574,60.76200000000017,1,0.5263157894736842
7,3379.983,-17.708999999999833,0,0.625
8,3136.985,-53.065000000000055,0,0.45454545454545453
9,3128.261,64.16300000000001,1,0.4782608695652174
10,3076.508,39.77299999999968,1,0.55
11,3239.559,41.94200000000001,1,0.6666666666666666
12,3223.288,-32.791999999999916,0,0.4782608695652174
13,3192.723,30.947000000000116,1,0.47368421052631576
14,3001.556,47.05000000000018,1,0.42857142857142855
15,3044.089,43.92000000000007,1,0.5714285714285714
16,2972.079,-8.922999999999774,0,0.5238095238095238
17,2846.776,5.036000000000058,1,0.43478260869565216
18,2581.351,-6.833999999999833,0,0.2857142857142857
19,2695.307,-13.710000000000036,0,0.5
20,2521.52,-87.04899999999998,0,0.45454545454545453
21,2345.742,34.38100000000031,1,0.36363636363636365
22,2464.26,3.5400000000004184,1,0.4666666666666667
23,2634.143,-28.320000000000164,0,0.6666666666666666
24,2454.899,11.777000000000044,1,0.4090909090909091
25,2626.157,-5.329999999999927,0,0.5882352941176471
26,2632.042,-10.215999999999894,0,0.45454545454545453
27,2461.612,35.883000000000266,1,0.3
28,2332.922,-2.8710000000000946,0,0.5
29,2204.868,-6.501999999999953,0,0.43478260869565216
30,2293.106,41.389000000000124,1,0.55
31,2254.82,14.938000000000102,1,0.5
32,2139.661,23.985000000000127,1,0.3181818181818182
33,2522.952,42.90300000000025,1,0.7142857142857143
34,2686.882,-1.8289999999997235,0,0.6
35,2673.327,78.65000000000009,1,0.6
36,2495.083,-4.219000000000051,0,0.42857142857142855
37,2447.306,-20.56899999999996,0,0.2777777777777778
38,2606.426,-27.896999999999935,0,0.6818181818181818
39,2200.639,39.903999999999996,1,0.23529411764705882
40,2193.021,3.6330000000002656,1,0.5217391304347826
41,2313.91,-4.401000000000295,0,0.45454545454545453
42,2409.037,14.065999999999804,1,0.5789473684210527
43,2373.718,-33.753000000000156,0,0.4444444444444444
44,2438.944,-0.5860000000002401,0,0.47619047619047616
45,2330.026,30.567999999999756,1,0.4090909090909091
46,2202.45,-25.33100000000013,0,0.38095238095238093
47,2178.971,24.86299999999983,1,0.5625
48,2146.305,-5.660000000000309,0,0.38095238095238093
49,2158.659,0.1890000000003056,1,0.47619047619047616
50,2156.464,1.2999999999997272,1,0.45
51,2165.118,14.860000000000127,1,0.45
52,2350.251,28.240000000000236,1,0.6521739130434783
53,2338.287,27.009000000000015,1,0.47619047619047616
54,2450.988,3.188999999999851,1,0.6666666666666666
55,2508.325,39.399999999999636,1,0.4444444444444444
56,2808.819,54.32900000000018,1,0.6
57,3533.705,76.15099999999984,1,0.782608695652174
58,3434.39,-47.4079999999999,0,0.5
59,3572.843,6.5479999999997744,1,0.6666666666666666
60,4051.204,-36.973999999999705,0,0.6818181818181818
61,4749.886,-24.4399999999996,0,0.7142857142857143
62,4840.829,6.822000000000116,1,0.55
63,4472.998,281.4489999999996,1,0.47619047619047616
64,3816.699,1.287000000000262,1,0.4782608695652174
65,3366.536,24.25,1,0.47619047619047616
66,3202.948,24.09400000000005,1,0.5
67,3534.0788,0.7722999999996318,1,0.7647058823529411
68,3566.4122,9.419800000000123,1,0.47619047619047616
69,3731.0047,-34.170500000000175,0,0.5652173913043478
70,2946.0902,92.33400000000029,1,0.5
71,2877.4666,-70.56399999999985,0,0.4375
72,3218.0879,1.8126000000002023,1,0.7391304347826086
73,3156.7451,-3.8357999999998356,0,0.4
74,3169.5598,102.85030000000006,1,0.5238095238095238
75,3153.921,2.531199999999899,1,0.55
76,3203.9304,-17.20609999999988,0,0.5238095238095238
77,3327.7938,15.80659999999989,1,0.5652173913043478
78,3253.2848,8.897399999999834,1,0.45
79,3336.2778,-3.8484000000003107,0,0.5
80,3538.001,-26.03939999999966,0,0.6818181818181818
81,3310.0808,12.316000000000258,1,0.3181818181818182
82,3387.9606,12.05639999999994,1,0.6111111111111112
83,3452.8103,6.587500000000091,1,0.6111111111111112
