quarter,spread
1,1.7916365384615385
2,1.4197212121212122
3,1.481516129032258
4,1.198595
5,0.9496403225806452
6,0.4355076923076923
7,0.8399539682539682
8,0.7091819672131148
9,1.0047475409836066
10,0.9322075757575757
11,0.731655737704918
12,0.8602733333333333
13,0.5731177419354838
14,0.3217848484848485
15,0.42698548387096774
16,1.1180683333333334
17,1.0274967741935483
18,0.5713075757575757
19,0.36123870967741933
20,0.33794833333333335
21,1.0847387096774193
22,1.2035984615384616
23,0.6352532258064516
24,0.6496688524590164
25,0.7233951612903226
26,0.63104
27,0.6028645161290322
28,0.6104213114754098
29,0.26493870967741934
30,0.28705606060606065
31,0.20654
32,0.4972360655737705
33,0.6612967741935484
34,0.9164515151515151
35,0.9156016393442623
36,0.83704
37,0.8950629032258065
38,0.6937
39,0.6749161290322581
40,0.9736847457627119
41,1.262258064516129
42,0.708431343283582
43,0.4841475409836066
44,0.91062
45,0.9988241935483871
46,0.8292969696969696
47,0.597741935483871
48,0.7891066666666667
49,0.9365467741935484
50,1.0427815384615384
51,0.835308064516129
