month,spread
1,2.0013181818181818
2,1.837575
3,1.6380523809523808
4,1.4114909090909091
5,1.4076818181818183
6,1.439990909090909
7,1.5941176470588234
8,1.811109090909091
9,1.0830260869565218
10,1.1816285714285715
11,1.1190499999999999
12,1.2694217391304348
13,1.188115
14,1.033652380952381
15,0.6385095238095239
16,0.5472238095238096
17,0.4775695652173913
18,0.27772380952380954
19,0.5856999999999999
20,0.9673090909090909
21,0.9171173913043478
22,0.7606764705882354
23,0.6774476190476191
24,0.7000956521739132
25,0.7618631578947369
26,1.0005954545454545
27,1.2400550000000001
28,1.1049636363636364
29,0.8503826086956522
30,0.8408428571428571
31,0.7792888888888888
32,0.7048863636363637
33,0.7188714285714285
34,0.8252454545454545
35,0.8917294117647059
36,0.8715047619047619
37,0.852895238095238
38,0.67345
39,0.14771578947368422
40,0.07760000000000003
41,0.40654999999999997
42,0.5004238095238095
43,0.5947473684210527
44,0.3700523809523809
45,0.33644545454545444
46,0.6953409090909092
47,1.1609823529411765
48,1.5261857142857143
49,1.2528142857142857
50,0.8648380952380952
51,0.9617049999999999
52,0.8292782608695652
53,0.48929523809523817
54,0.3798954545454546
55,0.27447894736842104
56,0.380965
57,0.41575652173913047
58,0.33179523809523814
59,0.3025529411764706
60,0.3711727272727273
61,0.49667619047619044
62,1.0134750000000001
63,1.7406714285714284
64,1.3228173913043477
65,1.241204761904762
66,1.0354190476190477
67,0.7493000000000001
68,0.6476380952380951
69,0.5346913043478261
70,0.5357049999999999
71,0.6085777777777778
72,0.7809260869565218
73,0.779625
74,0.6965857142857143
75,0.6966523809523809
76,0.5913571428571428
77,0.6320304347826087
78,0.6696380952380953
79,0.6226277777777779
80,0.6958545454545454
81,0.49370454545454545
82,0.5808052631578947
83,0.7010631578947368
84,0.5600086956521738
85,0.4122105263157895
86,0.34136666666666665
87,0.0647954545454545
88,0.24445238095238103
89,0.3587826086956522
90,0.25273636363636365
91,0.3224882352941177
92,0.3139181818181818
93,0.00018571428571427582
94,0.37673181818181817
95,0.5443529411764705
96,0.5813318181818182
97,0.6826650000000001
98,0.7699818181818181
99,0.520375
100,0.6606863636363637
101,1.0331391304347826
102,1.0565952380952381
103,1.12885
104,0.8798181818181819
105,0.7703047619047619
106,0.7339636363636363
107,0.8655999999999999
108,0.9219047619047619
109,1.0256363636363637
110,0.8771571428571429
111,0.7636631578947368
112,0.875304347826087
113,0.6061318181818183
114,0.5865380952380952
115,0.7007526315789473
116,0.6280238095238095
117,0.6973636363636365
118,0.9466941176470589
119,1.04629
120,0.9285363636363637
121,1.41255
122,1.4783263157894737
123,0.9093190476190475
124,0.8997217391304347
125,0.6794142857142857
126,0.5436347826086956
127,0.5087352941176471
128,0.40109523809523817
129,0.541804347826087
130,0.9324850000000001
131,0.8704941176470588
132,0.9212652173913043
133,1.0198045454545455
134,1.0354473684210526
135,0.9437095238095239
136,0.9605318181818181
137,0.8749727272727273
138,0.6523863636363636
139,0.7149000000000001
140,0.6055318181818182
141,0.5036956521739131
142,0.7247238095238095
143,0.89663125
144,0.773091304347826
145,0.8358666666666666
146,0.9758749999999999
147,0.9997714285714286
148,1.1078904761904762
149,1.0613217391304348
150,0.9573666666666667
151,0.9988499999999999
152,0.8346409090909092
153,0.7021681818181817
