quarter,short_balance_ratio
1,8.05432803172028e-05
2,0.00011567757948130887
3,7.912668465201508e-05
4,0.0002654524981550937
5,0.0010606291140397878
6,0.001943504287633852
7,0.004562383984711824
8,0.006456860407856894
9,0.008623446719891728
10,0.012895086113625314
11,0.0222383186583193
12,0.01849483754995938
13,0.020731452463466717
14,0.022125726553568665
15,0.018650887534564054
16,0.013648055509908628
17,0.019270047136470007
18,0.014013356220318213
19,0.011081050715594168
20,0.009198622681265079
21,0.005184870669748467
22,0.0037559082994264104
23,0.0034542449212936603
24,0.004423231353262679
25,0.004796359943083971
26,0.0073125670091862245
27,0.007968590656844448
28,0.009233362071075897
29,0.011280315888629879
30,0.009327716988251184
31,0.010833746141823452
32,0.010926707359405112
33,0.014902785533027842
34,0.025101396788933136
35,0.026625251448952794
36,0.016399674366418107
37,0.015070019093605815
38,0.025602265939404855
39,0.031173004934220646
40,0.01691808855768309
41,0.037252184772418546
42,0.0669711297754815
43,0.14135663289018527
44,0.15535610762003638
45,0.17566013905178698
46,0.12601259218158256
47,0.12555184594853286
48,0.0989764634963411
49,0.08891477095720322
50,0.11544706887906445
51,0.12257252427188071
