week,short_balance_ratio
1,5.338138130253724e-06
2,9.946741488590527e-06
3,2.6991170699703795e-05
4,2.8317655403101128e-05
5,5.5509631231540786e-05
6,8.59324468363159e-05
7,8.58586137370423e-05
8,0.00013600861704153247
9,9.215658230201228e-05
10,0.00010418379986789483
11,0.00015930073156890368
12,0.00014722576866441428
13,0.00017371167811271678
14,0.00017485560676568025
15,0.00013564500838673387
16,0.0001343945576070936
17,0.00010321538347057668
18,0.00010347430279502502
19,9.014076910278877e-05
20,0.00012504632264716826
21,7.814304794079436e-05
22,7.986167020546148e-05
23,7.289587457150636e-05
24,0.0001301798838843664
25,9.398569251435263e-05
26,7.1077069882565e-05
27,7.652209772269168e-05
28,8.860708456549584e-05
29,7.081417214625296e-05
30,6.542722565111632e-05
31,5.67971858174997e-05
32,5.184504014954406e-05
33,7.590393914630615e-05
34,0.00011564956565798907
35,0.00010162871303808175
36,7.807154210760001e-05
37,8.135437745887682e-05
38,8.850919531661667e-05
39,7.405168101412114e-05
40,0.00015400205114391642
41,0.00011913207125633781
42,0.0001843251746716222
43,0.00018512049684430177
44,0.00017741699844372506
45,0.00012478773666772447
46,0.00017178482483267942
47,0.00032939022136981944
48,0.0004447792399573077
49,0.0004078770307177724
50,0.0005234678127971748
51,0.0004926521269926585
52,0.0007009506128624173
53,0.0005776925548532638
54,0.000548154445177982
55,0.0007727994955518999
56,0.0009417732968565889
57,0.0010160564692507233
58,0.0010947351457229505
59,0.0010469849021313802
60,0.001305250222440738
61,0.0012676025352363134
62,0.0014547381396919216
63,0.0016893202067619361
64,0.0014285337070094023
65,0.0012990874161978078
66,0.0012700408550976787
67,0.0014867363905861765
68,0.0014991774247544308
69,0.0016788436071288964
70,0.0012828702150882124
71,0.001769873016072039
72,0.0019895913114683196
73,0.002472852005460123
74,0.0027050869764255066
75,0.002902030303142486
76,0.002679747042485061
77,0.002514675050840098
78,0.0027697134102893867
79,0.0035805542696676087
80,0.003078435968766449
81,0.0027026343792951944
82,0.0029325819167294676
83,0.0027647571379877224
84,0.0041978053485787386
85,0.003964597511488865
86,0.006904502598113471
87,0.006602693412155558
88,0.006659801786369121
89,0.008590530077100297
90,0.008686005528478619
91,0.006027051511899307
92,0.006610903999392827
93,0.008858517812903028
94,0.006807920571599052
95,0.006408014463893455
96,0.005585662768462997
97,0.005899517781367369
98,0.005721004148687281
99,0.004810030636285709
100,0.005762393489315469
101,0.007196960230246305
102,0.008442945590034574
103,0.008818382381318685
104,0.00793288838125089
105,0.006614340451153859
106,0.006965115827231632
107,0.006861502821302166
108,0.007824513284339734
109,0.009489397739932955
110,0.008066082648230466
111,0.009619906450832156
112,0.009941736889525994
113,0.010244912423249935
114,0.01083574257588272
115,0.010753625572577046
116,0.011261391186600687
117,0.011701761369902908
118,0.014119868363156023
119,0.01578711091386792
120,0.010932818022672057
121,0.012809777887344465
122,0.012513503428459805
123,0.014452434402311847
124,0.013530564097400444
125,0.009839487311325761
126,0.013531703523804967
127,0.01640207339770515
128,0.015160940345808043
129,0.018062350115137776
130,0.017079340067808223
131,0.019175282069257542
132,0.0205166034094602
133,0.02676994200342766
134,0.02933756621631481
135,0.03331664680662714
136,0.02574817240248204
137,0.02359850786121541
138,0.01964054204122808
139,0.018956803996087585
140,0.019190575844847495
141,0.01951077091915313
142,0.016996016699435606
143,0.01990720522317372
144,0.020470972330278656
145,0.019963365608953766
146,0.016131269215789352
147,0.01569681591459549
148,0.013509490580340133
149,0.019520062621528562
150,0.020847816485268223
151,0.02085695491973042
152,0.02162287323465582
153,0.025300743643838684
154,0.027903451687947924
155,0.02074810865112383
156,0.02437114635476264
157,0.02121148815160834
158,0.020588924119931847
159,0.015846550486250888
160,0.016642696223120663
161,0.019098406922323806
162,0.019081882079802555
163,0.02177727596399668
164,0.01686597691875833
165,0.026554281704962122
166,0.029177248014629308
167,0.02267010676772664
168,0.022741047526429036
169,0.028253381086422235
170,0.024907518484784168
171,0.021660406922877865
172,0.02285477117166023
173,0.018439547815753164
174,0.01914679482675275
175,0.015950166175251617
176,0.018598929267802447
177,0.015934238523088028
178,0.018802166523301446
179,0.01428998706673961
180,0.0143998927068831
181,0.015112651463149562
182,0.01910247671866648
183,0.022750723070357477
184,0.022822959965194057
185,0.017939622336981077
186,0.018407357806720984
187,0.017586240597931603
188,0.02035491623852917
189,0.02203403975680473
190,0.018670932978597725
191,0.01622019837064697
192,0.016337477435656583
193,0.017987153789254324
194,0.01402047884961359
195,0.012144816183717325
196,0.012567747874200003
197,0.00921727441483774
198,0.009469908632208908
199,0.00943135154537326
200,0.012189935829271454
201,0.01733716709435909
202,0.01601525758658221
203,0.014294704332205727
204,0.01956000346933282
205,0.0155516509462206
206,0.01836527596511099
207,0.0182754367287791
208,0.020366926275980305
209,0.021596178249566063
210,0.021007751345260648
211,0.022916777971509823
212,0.01861571221256715
213,0.02039745220402448
214,0.019070174031690146
215,0.017987800717294285
216,0.0175376801027766
217,0.01376752212079901
218,0.013937659275202846
219,0.014896788893740288
220,0.01669641202084069
221,0.015506683863571383
222,0.016940128681632683
223,0.015312606324564923
224,0.013698297650315754
225,0.015348426953382737
226,0.011771374425753258
227,0.011838197722381406
228,0.01181182309799631
