quarter,camount
1,10.345882610977135
2,10.690867287015593
3,11.336654049107633
4,10.978013411514548
5,10.672703709794343
6,10.451973056604693
7,10.1025539618191
8,10.424057149231292
9,10.337343791131179
10,10.126589502985034
11,10.137904519436791
12,10.731586865991007
13,10.453642441255749
14,10.728208679922982
15,10.607137139250396
16,10.487371054442919
17,10.236814132477368
18,10.93112518585166
19,11.957358561991901
20,12.166524786870637
21,12.900789044223073
22,12.310577920573984
23,11.857227043577293
24,11.238094594282398
25,11.006078250163332
26,11.18066434912048
27,11.220592192438287
28,10.965003882493988
29,11.171514151163562
30,11.459065511107468
31,11.429443307498083
32,11.5866817467167
33,11.149025051512286
34,11.008629311077115
35,10.966317383802872
36,11.54785177806519
37,11.555225470693603
38,11.412688468311085
39,11.321251995035505
40,11.868288428639106
41,11.538519037428001
42,12.28587016930244
43,11.97281126871135
44,12.321235629624912
45,12.056600471075829
46,12.445888478737409
47,12.111209120960547
48,11.973177009335764
49,11.975213215738693
50,11.946759023118837
51,11.775043545290735
