week,camount
1,6.510793911365194
2,8.499682774996256
3,8.218636200812153
4,7.993089807037673
5,8.089973151505044
6,7.992870220231592
7,8.119764702995445
8,7.796847461026319
9,7.861854188389159
10,6.808476233640179
11,7.6872544525191815
12,7.567805756302779
13,7.6196162589861824
14,7.761962074758541
15,8.156277841077221
16,8.182648695508346
17,8.272041732962744
18,8.175412489793551
19,8.373308964087595
20,7.96700284412797
21,8.347348671653277
22,8.467174873374494
23,8.313484552740634
24,6.930739115372512
25,8.002018122512409
26,7.2077635704993925
27,9.268203537420371
28,9.217596979000902
29,9.079960579267848
30,9.170397157881943
31,9.1633493883104
32,8.743373726423439
33,8.594979817589161
34,8.389348456205422
35,8.328149088861457
36,8.510710222310516
37,8.467397722096875
38,8.283150459233028
39,8.414766146700009
40,8.22232267724843
41,8.228112808450497
42,8.18963867347979
43,7.305880180231214
44,7.878977279782487
45,8.796987738966966
46,8.58686849665896
47,8.67505639984448
48,8.74593066751816
49,8.59360778698188
50,8.461122186133244
51,8.609748671425722
52,8.197092604975586
53,8.66486981684801
54,8.487725245047173
55,8.276079133447386
56,7.939775383634335
57,7.976547331237767
58,7.903341362405722
59,7.896991593411195
60,7.780499474807909
61,7.63678105557698
62,7.887328743821857
63,8.003336311364855
64,8.182005729118929
65,8.339295435171689
66,8.191820328216158
67,8.043098003147247
68,8.009223485631443
69,7.786585028468216
70,8.20149840091855
71,7.842742143860445
72,7.808014185143256
73,7.616721673374815
74,7.429170633102256
75,7.1320421764269835
76,7.649111502512341
77,7.51794467382076
78,7.750791213107299
79,7.485328856291337
80,7.9774020893572315
81,8.095357818709752
82,7.760590636237015
83,7.778504563885914
84,7.335796941269207
85,7.630029129593008
86,7.213886121502378
87,7.284649430102266
88,7.354694968629321
89,7.243370005189221
90,6.920543164325412
91,7.935297540368095
92,7.93610603460958
93,7.6537368158834544
94,7.911258034381726
95,7.84012799966314
96,8.13622555490846
97,8.194958320791043
98,8.124123936284402
99,8.299964612112936
100,7.998573942767246
101,7.725488965684799
102,6.958999572169148
103,7.8132034420772225
104,7.862046749373817
105,8.059835662111473
106,7.776547611998681
107,8.09983665975283
108,7.846519577819209
109,7.773758526261914
110,7.9989669169317335
111,7.762923515121204
112,7.741537933321046
113,7.3135803223058495
114,7.513354575021658
115,7.700937821704357
116,7.7838280005675005
117,7.6631398977177865
118,7.342345438317546
119,7.334590412826494
120,7.6467693073638605
121,7.4656209649535406
122,7.379363869588075
123,7.315344795602408
124,7.650354309511078
125,7.81031213140165
126,7.489747410175919
127,7.538212894697518
128,7.546968840457748
129,7.442891003165655
130,7.406334217289772
131,7.414428292584884
132,7.3343293503005365
133,7.1804353825155705
134,7.1285119840438025
135,7.133870410774507
136,7.7946995860610615
137,7.92397098066412
138,8.17431407449907
139,8.154175316412326
140,7.477196920433929
141,8.210219561050069
142,8.395987806196574
143,8.36777396724484
144,8.542656238852768
145,8.550035916065708
146,8.310454344127304
147,8.232647528618818
148,8.43281978646225
149,8.04821303824014
150,8.124123936284402
151,8.066979640368334
152,7.299486507635659
153,7.806403289283442
154,7.8923138195487335
155,7.982877148801975
156,7.007301926815355
157,7.99516168225158
158,8.068741247208306
159,8.274642534576799
160,8.222451592374114
161,7.970149541915605
162,7.07131017168468
163,7.860979494909582
164,8.175133775537201
165,7.995165053142253
166,8.114632860355304
167,8.055878107207647
168,7.984810201700306
169,7.881031076338949
170,8.031226020146958
171,8.294034639989526
172,8.015284361287453
173,8.150462139601574
174,8.126435398580298
175,8.740607106178956
176,7.861341795599989
177,8.336577379012805
178,6.413295009302411
179,8.136336789939413
180,8.282035255554865
181,8.243090500404895
182,8.167048308714374
183,7.882088478250161
184,7.939864451291967
185,8.314952152498844
186,8.121625937536843
187,8.337094761643165
188,7.925685211000471
189,7.840312983320164
190,7.743235008119674
191,7.649378288599123
192,7.844660073555584
193,7.761212701684723
194,7.854924330501228
195,7.626462988067358
196,6.206515441024736
197,8.29215785179841
198,8.354674261918463
199,8.264497237840004
200,8.0390218974235
201,7.955933553098819
202,8.004886471368449
203,8.074546330062537
204,7.824697798396636
205,8.115652373200227
206,7.868747829117117
207,7.797365223154957
208,7.1781029754975965
209,7.60926737587371
210,7.739176338778523
211,7.453602427020297
212,7.583171185511768
213,7.236080129895934
214,7.630810715280747
215,7.7281648680836295
216,7.579821815930844
217,7.853616463515407
218,7.844417103996123
219,7.958618860975642
220,8.204330053767197
221,8.630659367270981
222,8.439772044447652
223,8.357662733163098
224,8.438368574901684
225,8.175609513608737
226,8.585899888625903
227,8.364268093589784
228,8.59067225156054
229,8.501433659782487
230,7.66561752759433
231,8.186403180330368
232,8.656963829405763
233,8.307370521884872
234,8.71897417936641
235,8.92070706376814
236,9.158727026377706
237,8.743373726423439
238,9.474709548340885
239,9.967923724686221
240,10.09657841166523
241,9.967335210082396
242,9.914769669435767
243,9.475258296154387
244,10.000230795923246
245,9.605993499660316
246,9.84173554545968
247,9.571645977831608
248,9.427811063002077
249,9.252876736124694
250,8.383106215912697
251,8.940380332512019
252,9.568597164133067
253,9.53129279693936
254,10.045702570615829
255,10.116270012646687
256,10.148202362274445
257,10.07858600205299
258,10.34049816123228
259,10.563100183032578
260,10.2543018061303
261,10.200174459495296
262,10.240237607705051
263,10.230178897519966
264,10.557483997494305
265,10.479749450588713
266,10.568038994459867
267,10.336206543226048
268,10.088124343771895
269,10.365684539086505
270,10.436896346069373
271,10.172172568132716
272,10.07613622748438
273,9.907757921517529
274,9.482776818212397
275,9.808332010774725
276,9.705495654778325
277,9.591516202810016
278,9.217301089871775
279,9.156135474562316
280,9.050700822493928
281,8.872241813610385
282,7.939447546324225
283,8.035447290750408
284,9.27554460897577
285,9.456378236983284
286,9.27538345330185
287,9.582979212152797
288,9.761629590044743
289,9.467780223709202
290,9.351680199270707
291,9.29724349310636
292,8.978065254529472
293,9.235062252430929
294,9.388831267814657
295,8.781431084160916
296,8.927396390356385
297,8.90116768838475
298,8.723265453930896
299,8.603651582203844
300,8.332021978205482
301,8.555128463359239
302,8.745290850846775
303,8.941134557385338
304,8.547516749701009
305,8.850220931134801
306,9.087322659273289
307,8.783745596443453
308,8.591738353702711
309,8.806811887401523
310,8.630564732947757
311,8.199497173160793
312,8.335052418279933
313,8.308083207345799
314,8.1943839889882
315,8.071274770816245
316,8.66565112684963
317,7.964054879264448
318,8.497667805685063
319,8.442320927265783
320,8.577471400297462
321,8.843005960091713
322,8.982189303951431
323,8.599957730006535
324,8.738371613127448
325,8.36768107015617
326,8.632430767916317
327,9.17080921063885
328,8.587670294220073
329,8.470200111523138
330,8.517655084727096
331,7.976255378985343
332,8.178358165605836
333,8.046305971919585
334,8.322680827776159
335,8.47381376278071
336,8.622270066851978
337,8.544748045346365
338,8.807800979784222
339,8.869859310744257
340,9.009378967595621
341,9.270724023585158
342,8.858011683655917
343,8.808998252656554
344,8.461612825920437
345,8.293459465983538
346,8.21036363701369
347,8.335162792231792
348,8.385716828627851
349,7.9066024794606715
350,6.347634363491269
351,8.412008215905894
352,8.64535067039762
353,8.650009328306353
354,8.488822523064
355,8.414141120359847
356,8.60323876883824
357,8.697395838238524
358,8.629843074960872
359,8.41299866239838
360,9.00101466304163
361,8.743389677778186
362,8.71615224102987
363,8.352179387600216
364,8.56351746062132
365,8.480608042111355
366,8.6440531292933
367,8.086130236116464
368,8.559110266117262
369,8.547790289393616
370,8.72794346230441
371,8.75237123683941
372,8.727808997195877
373,8.849404936447266
374,9.044027194591601
375,8.884888586494434
376,9.055273606003448
377,8.891708249946936
378,8.783250627721346
379,8.760228777794339
380,9.10665511894865
381,8.946747152652932
382,8.942777216664956
383,8.862065760526642
384,8.662190103050037
385,8.870011106573536
386,8.718781284122642
387,8.780721393629921
388,9.00330021225411
389,9.118192187790491
390,9.219569650854638
391,9.323346683897897
392,8.943935655866422
393,8.885576523879124
394,8.733205777727639
395,8.69413530491568
396,8.802484909245381
397,8.914436593737655
398,9.139104272046888
399,9.418700789233595
400,9.432830109600795
401,9.275780673887223
402,9.39608855118804
403,8.262164158239456
404,7.888071900620851
405,8.959473557786854
406,8.853379672927634
407,8.870785187952544
408,8.876353244910717
409,8.958928510377376
410,8.349954907971336
411,8.704659822917533
412,8.782990019429462
413,8.75004942158424
414,8.13487218049392
415,8.63957718198367
416,8.55463154788435
417,8.562497286300838
418,8.647572120244199
419,8.637167602033452
420,8.57124378096926
421,8.54076322292867
422,8.553791237613956
423,8.590770737204478
424,8.513815493411517
425,8.468074373245996
426,8.73287859979553
427,8.512138437646506
428,8.49785949415518
429,8.343111196012819
430,8.320810843389943
431,8.445261004370607
432,8.315054975227653
433,8.229921701330646
434,8.421076486457922
435,8.254362418150436
436,8.520886363253855
437,8.364349656902185
438,8.785013314812337
439,8.827036871287309
440,8.498144919522463
441,8.637376898708705
442,8.480747025644105
443,8.204376542055575
444,8.495528190979286
445,8.266729829447065
446,8.242924752585875
447,8.194709852321793
448,7.8629282051800775
449,8.455509258728105
450,8.397382100645611
451,8.344100913500737
452,8.408707798410886
453,8.834418532008327
454,9.104812064464312
455,9.624403742188864
456,9.727736164834266
457,9.50008331936563
458,9.347043728599637
459,9.262058626055572
460,9.41005643009889
461,9.442400056178819
462,9.304019221885158
463,9.229264181852882
464,8.204160489928741
465,9.126663067149499
466,8.877376374282054
467,8.725814199225267
468,8.737925838835793
469,8.41708552203986
470,8.791160646971678
471,8.965499374329507
472,8.850956046690666
473,9.003954375250093
474,8.669715116971673
475,8.694798644856483
476,8.680073655552489
477,8.704115813722302
478,8.764575008218365
479,8.708033361575522
480,8.888429797854672
481,8.910115972349251
482,9.12096693479025
483,8.910524987701129
484,8.882365331711505
485,8.816891775530419
486,6.912613458892494
487,8.513311668041583
488,8.76983651410349
489,8.603754300383768
490,8.85290370943205
491,8.87408691142174
492,8.676638401875888
493,8.69858932013369
494,8.685393849282288
495,8.655433977419458
496,8.85162620738247
497,9.172043312123828
498,8.92578407585819
499,9.077101507989557
500,9.246627941512598
501,9.084701182396627
502,9.066266747645454
503,9.477187649630133
504,9.306749947223809
505,9.554338503586804
506,9.727366532620067
507,9.646025552311832
508,9.517803012657314
509,9.442116158113762
510,9.203542317475183
511,9.026040058734345
512,8.83355892600459
513,9.00078656042899
514,8.88686806886517
515,8.829125339528975
516,8.6525000070442
517,8.979149527882644
518,9.002033707680054
519,8.781036361763128
520,9.114106966129818
521,9.123631494683451
522,9.248550959739935
523,8.879832910660271
524,9.68164128438612
525,10.251582695017078
526,10.095460715701549
527,9.904565471372822
528,9.692945517545356
529,9.891970484991749
530,9.664415310534315
531,9.656646674420285
532,9.503662012129688
533,9.559359988525495
534,9.393333369969701
